iter_1000
2/1206.bmp (0.9999672174453735, '2 CL')
2/1249.bmp (0.9999865293502808, '2 CL')
2/1309.bmp (0.9999309778213501, '2 CL')
2/202.bmp (0.9999749064445496, '2 CL')
2/669.bmp (0.9999979138374329, '2 CL')
2/373.bmp (0.9999583959579468, '2 CL')
2/386.bmp (0.9999988675117493, '2 CL')
2/937.bmp (0.9999653100967407, '2 CL')
2/737.bmp (0.9999874234199524, '2 CL')
2/238.bmp (0.999708354473114, '2 CL')
2/824.bmp (0.9999940991401672, '2 CL')
2/36.bmp (0.9999961853027344, '2 CL')
2/528.bmp (0.9999972581863403, '2 CL')
2/67.bmp (0.9999971389770508, '2 CL')
2/1143.bmp (0.9999702572822571, '2 CL')
2/1081.bmp (0.999991238117218, '2 CL')
2/768.bmp (0.9999960064888, '2 CL')
2/1106.bmp (0.9999203681945801, '2 CL')
2/472.bmp (0.9999901652336121, '2 CL')
2/1112.bmp (0.9999232292175293, '2 CL')
2/602.bmp (0.9999980926513672, '2 CL')
2/42.bmp (0.9999966621398926, '2 CL')
2/1049.bmp (0.9999944567680359, '2 CL')
2/987.bmp (1.0, '2 CL')
2/1018.bmp (0.9999996423721313, '2 CL')
2/1174.bmp (0.9999898672103882, '2 CL')
2/404.bmp (0.9999797940254211, '2 CL')
2/571.bmp (0.9999973177909851, '2 CL')
2/1162.bmp (0.9999955892562866, '2 CL')
2/862.bmp (0.999976634979248, '2 CL')
2/503.bmp (0.9999995231628418, '2 CL')
2/1268.bmp (0.9999963045120239, '2 CL')
2/226.bmp (0.9999911189079285, '2 CL')
2/441.bmp (0.9999963641166687, '2 CL')
2/1237.bmp (0.9999909400939941, '2 CL')
2/171.bmp (0.9999936819076538, '2 CL')
2/701.bmp (0.9999821782112122, '2 CL')
2/534.bmp (0.9999964833259583, '2 CL')
2/638.bmp (0.9999982118606567, '2 CL')
2/893.bmp (0.9999057650566101, '2 CL')
2/651.bmp (0.9999940991401672, '2 CL')
2/103.bmp (0.9999883770942688, '2 CL')
2/269.bmp (0.9999908208847046, '2 CL')
2/799.bmp (0.9999915361404419, '2 CL')
2/956.bmp (0.9999901056289673, '2 CL')
2/134.bmp (0.9999934434890747, '2 CL')
2/924.bmp (0.9999925494194031, '2 CL')
2/337.bmp (0.9999996423721313, '2 CL')
2/306.bmp (0.9999834895133972, '2 CL')
2/831.bmp (0.9999963045120239, '2 CL')
0/790.bmp (0.4999997019767761, '0 HL')
0/66.bmp (0.5000133514404297, '0 HL')
0/1232.bmp (0.5000099539756775, '0 HL')
0/97.bmp (0.5000127553939819, '0 HL')
0/1170.bmp (0.500007688999176, '0 HL')
0/347.bmp (0.5000057220458984, '0 HL')
0/253.bmp (0.5000314116477966, '0 HL')
0/1045.bmp (0.5000002384185791, '0 HL')
0/28.bmp (0.5000196695327759, '0 HL')
0/122.bmp (0.5000002980232239, '0 HL')
0/846.bmp (0.4999995827674866, '0 HL')
0/160.bmp (0.50009685754776, '0 HL')
0/946.bmp (0.4999855160713196, '0 HL')
0/446.bmp (0.5000050067901611, '0 HL')
0/128.bmp (0.4999992847442627, '0 HL')
0/940.bmp (0.4999518394470215, '0 HL')
0/378.bmp (0.5000083446502686, '0 HL')
0/852.bmp (0.5000000596046448, '0 HL')
0/1201.bmp (0.5000026226043701, '0 HL')
0/596.bmp (0.4999999403953552, '0 HL')
0/222.bmp (0.49999910593032837, '2 CL')
0/602.bmp (0.5000000596046448, '0 HL')
0/633.bmp (0.5000004768371582, '0 HL')
0/627.bmp (0.5000002384185791, '0 HL')
0/1107.bmp (0.5, '0 HL')
0/477.bmp (0.5000088214874268, '0 HL')
0/403.bmp (0.5000095367431641, '0 HL')
0/316.bmp (0.5000021457672119, '0 HL')
0/1076.bmp (0.5000004768371582, '0 HL')
0/435.bmp (0.5000019073486328, '0 HL')
0/571.bmp (0.5000005960464478, '0 HL')
0/508.bmp (0.5000011324882507, '0 HL')
0/915.bmp (0.4999997615814209, '0 HL')
0/1013.bmp (0.5000002384185791, '0 HL')
0/752.bmp (0.5000088214874268, '0 HL')
0/883.bmp (0.4999998211860657, '0 HL')
0/665.bmp (0.5000083446502686, '0 HL')
0/696.bmp (0.5000100135803223, '0 HL')
0/727.bmp (0.5000040531158447, '0 HL')
0/1038.bmp (0.5, '0 HL')
0/1138.bmp (0.5000066161155701, '0 HL')
0/35.bmp (0.5000463724136353, '0 HL')
0/410.bmp (0.5000097751617432, '0 HL')
0/191.bmp (0.5000734925270081, '0 HL')
0/247.bmp (0.5001161694526672, '0 HL')
0/540.bmp (0.5, '0 HL')
0/285.bmp (0.5000009536743164, '0 HL')
0/758.bmp (0.5000004768371582, '0 HL')
0/153.bmp (0.5000502467155457, '0 HL')
0/1257.bmp (0.5000057220458984, '0 HL')
1/636.bmp (0.5, '1 HR')
1/926.bmp (0.49999943375587463, '1 HR')
1/1108.bmp (0.5, '1 HR')
1/586.bmp (0.5, '1 HR')
1/467.bmp (0.5, '1 HR')
1/248.bmp (0.4999998211860657, '1 HR')
1/1242.bmp (0.5, '1 HR')
1/698.bmp (0.4999997615814209, '1 HR')
1/530.bmp (0.5, '1 HR')
1/142.bmp (0.4999999403953552, '1 HR')
1/11.bmp (0.5, '1 HR')
1/442.bmp (0.5, '1 HR')
1/890.bmp (0.5, '1 HR')
1/167.bmp (0.4999999403953552, '1 HR')
1/920.bmp (0.49999961256980896, '1 HR')
1/223.bmp (0.5, '1 HR')
1/1318.bmp (0.5, '1 HR')
1/55.bmp (0.4999999403953552, '1 HR')
1/847.bmp (0.5, '1 HR')
1/67.bmp (0.5, '1 HR')
1/805.bmp (0.5, '1 HR')
1/1283.bmp (0.5, '1 HR')
1/155.bmp (0.4999998211860657, '1 HR')
1/536.bmp (0.5, '1 HR')
1/748.bmp (0.5, '1 HR')
1/380.bmp (0.4999998211860657, '1 HR')
1/686.bmp (0.4999999403953552, '1 HR')
1/623.bmp (0.5, '1 HR')
1/273.bmp (0.5, '1 HR')
